implementation,batch_size,sequence_length,head_dim,dtype,input_qkv_memory_mib,allocated_before_backward_mib,forward_saved_delta_mib,forward_peak_memory_mib,overall_peak_memory_mib,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,warmup_steps,measurement_steps,gpu,status,error
compiled,8,256,16,float32,0.375,20.90625,4.28125,20.90625,25.28125,0.11942438781261444,0.0355063516013836,0.43202396482229233,0.09510931066810661,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,16,float32,1.5,82.875,65.125,82.875,148.375,0.21056514233350754,0.05143832859837192,0.741458423435688,0.09094672386226883,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,16,float32,6.0,1050.75,1028.5,1050.75,2080.75,2.7594243735074997,0.20377482662067525,7.721064910292625,0.11607552348756797,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,16,float32,12.0,4133.25,4105.0,4133.25,8241.25,13.451811149716377,0.390688239898963,29.726524651050568,0.30434602877190936,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,16,float32,,,,,,,,,,5,100,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.97 GiB is free. Process 1257507 has 16.54 GiB memory in use. Of the allocated memory 16.06 GiB is allocated by PyTorch, and 15.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
compiled,8,256,32,float32,0.75,21.53125,4.53125,21.53125,26.28125,0.13566367328166962,0.0351770544028123,0.3606661781668663,0.08765837087897736,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,32,float32,3.0,85.375,66.125,85.375,152.375,0.2269582450389862,0.05407579210728964,0.694529302418232,0.2787994324519194,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,32,float32,12.0,1060.75,1032.5,1060.75,2096.75,3.6183011904358864,0.21888564632595528,7.976412549614906,0.25584178451422923,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,32,float32,24.0,4153.25,4113.0,4153.25,8273.25,14.855952933430672,0.3988541079339644,32.39147640764713,0.3781294864290471,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,32,float32,,,,,,,,,,5,100,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.96 GiB is free. Process 1257507 has 16.54 GiB memory in use. Of the allocated memory 16.06 GiB is allocated by PyTorch, and 24.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
compiled,8,256,64,float32,1.5,22.78125,5.03125,22.78125,28.28125,0.14561686664819717,0.04461895937613133,0.38164470344781876,0.06738150257897665,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,64,float32,6.0,90.375,68.125,90.375,160.375,0.2930840477347374,0.05383375954202253,0.6325198709964752,0.0690238788980997,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,64,float32,24.0,1080.75,1040.5,1080.75,2128.75,2.6489360257983208,0.21280333010593852,7.858122922480106,0.12954666700164758,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,64,float32,48.0,4193.25,4129.0,4193.25,8337.25,10.227250307798386,0.2989479471813171,31.996460109949112,0.1207588413166886,5,100,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,64,float32,,,,,,,,,,5,100,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.92 GiB is free. Process 1257507 has 16.59 GiB memory in use. Of the allocated memory 16.11 GiB is allocated by PyTorch, and 24.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
