implementation,batch_size,sequence_length,head_dim,dtype,input_qkv_memory_mib,allocated_before_backward_mib,forward_saved_delta_mib,forward_peak_memory_mib,overall_peak_memory_mib,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,warmup_steps,measurement_steps,gpu,status,error
compiled,8,256,16,float32,0.375,20.90625,4.28125,20.90625,25.03125,0.5415342748165131,0.0,0.8299313485622406,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,16,float32,1.5,82.875,65.125,82.875,147.375,0.7706880569458008,0.0,1.0781772434711456,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,16,float32,6.0,1050.75,1028.5,1050.75,2076.75,4.58410382270813,0.0,10.200787335634232,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,16,float32,12.0,4133.25,4105.0,4133.25,8233.25,12.353841215372086,0.0,32.51134604215622,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,16,float32,,,,,,,,,,5,1,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.97 GiB is free. Process 1277837 has 16.54 GiB memory in use. Of the allocated memory 16.06 GiB is allocated by PyTorch, and 15.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
compiled,8,256,32,float32,0.75,21.53125,4.53125,21.53125,25.78125,0.4272088408470154,0.0,1.6929730772972107,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,32,float32,3.0,85.375,66.125,85.375,150.375,0.8020959794521332,0.0,1.8957480788230896,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,32,float32,12.0,1060.75,1032.5,1060.75,2088.75,4.639115184545517,0.0,10.69224625825882,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,32,float32,24.0,4153.25,4113.0,4153.25,8257.25,12.975465506315231,0.0,34.174852073192596,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,32,float32,,,,,,,,,,5,1,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.88 GiB is free. Process 1277837 has 16.63 GiB memory in use. Of the allocated memory 16.11 GiB is allocated by PyTorch, and 63.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
compiled,8,256,64,float32,1.5,22.78125,5.03125,22.78125,27.28125,0.5937442183494568,0.0,1.6953013837337494,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,64,float32,6.0,90.375,68.125,90.375,156.375,0.802215188741684,0.0,1.472868025302887,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,64,float32,24.0,1080.75,1040.5,1080.75,2112.75,4.719339311122894,0.0,11.290129274129868,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,64,float32,48.0,4193.25,4129.0,4193.25,8305.25,12.607920914888382,0.0,32.74789825081825,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,64,float32,,,,,,,,,,5,1,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.82 GiB is free. Process 1277837 has 16.68 GiB memory in use. Of the allocated memory 16.21 GiB is allocated by PyTorch, and 23.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
compiled,8,256,128,float32,3.0,25.28125,6.03125,25.28125,30.28125,0.4548095166683197,0.0,2.797149121761322,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,1024,128,float32,12.0,100.375,72.125,100.375,168.375,0.9167231619358063,0.0,1.9622035324573517,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,4096,128,float32,48.0,1120.75,1056.5,1120.75,2160.75,4.973389208316803,0.0,12.511048465967178,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,8192,128,float32,96.0,4273.25,4161.0,4273.25,8401.25,13.723570853471756,0.0,34.589335322380066,0.0,5,1,NVIDIA GeForce RTX 4090,success,
compiled,8,16384,128,float32,,,,,,,,,,5,1,NVIDIA GeForce RTX 4090,OOM,"CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 6.64 GiB is free. Process 1277837 has 16.87 GiB memory in use. Of the allocated memory 16.39 GiB is allocated by PyTorch, and 23.75 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
