module_index,module,kind,full_shape,full_numel,communication_dtype,local_shard_mib,received_per_rank_mib,gathered_buffer_mib
0,token_embeddings,embedding,"[10000, 1280]",12800000,float16,12.20703125,12.20703125,24.4140625
1,layers.0.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
2,layers.0.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
3,layers.0.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
4,layers.0.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
5,layers.0.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
6,layers.0.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
7,layers.0.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
8,layers.1.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
9,layers.1.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
10,layers.1.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
11,layers.1.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
12,layers.1.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
13,layers.1.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
14,layers.1.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
15,layers.2.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
16,layers.2.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
17,layers.2.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
18,layers.2.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
19,layers.2.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
20,layers.2.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
21,layers.2.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
22,layers.3.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
23,layers.3.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
24,layers.3.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
25,layers.3.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
26,layers.3.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
27,layers.3.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
28,layers.3.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
29,layers.4.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
30,layers.4.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
31,layers.4.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
32,layers.4.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
33,layers.4.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
34,layers.4.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
35,layers.4.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
36,layers.5.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
37,layers.5.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
38,layers.5.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
39,layers.5.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
40,layers.5.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
41,layers.5.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
42,layers.5.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
43,layers.6.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
44,layers.6.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
45,layers.6.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
46,layers.6.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
47,layers.6.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
48,layers.6.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
49,layers.6.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
50,layers.7.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
51,layers.7.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
52,layers.7.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
53,layers.7.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
54,layers.7.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
55,layers.7.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
56,layers.7.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
57,layers.8.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
58,layers.8.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
59,layers.8.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
60,layers.8.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
61,layers.8.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
62,layers.8.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
63,layers.8.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
64,layers.9.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
65,layers.9.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
66,layers.9.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
67,layers.9.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
68,layers.9.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
69,layers.9.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
70,layers.9.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
71,layers.10.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
72,layers.10.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
73,layers.10.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
74,layers.10.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
75,layers.10.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
76,layers.10.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
77,layers.10.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
78,layers.11.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
79,layers.11.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
80,layers.11.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
81,layers.11.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
82,layers.11.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
83,layers.11.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
84,layers.11.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
85,layers.12.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
86,layers.12.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
87,layers.12.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
88,layers.12.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
89,layers.12.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
90,layers.12.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
91,layers.12.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
92,layers.13.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
93,layers.13.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
94,layers.13.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
95,layers.13.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
96,layers.13.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
97,layers.13.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
98,layers.13.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
99,layers.14.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
100,layers.14.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
101,layers.14.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
102,layers.14.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
103,layers.14.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
104,layers.14.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
105,layers.14.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
106,layers.15.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
107,layers.15.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
108,layers.15.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
109,layers.15.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
110,layers.15.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
111,layers.15.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
112,layers.15.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
113,layers.16.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
114,layers.16.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
115,layers.16.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
116,layers.16.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
117,layers.16.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
118,layers.16.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
119,layers.16.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
120,layers.17.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
121,layers.17.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
122,layers.17.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
123,layers.17.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
124,layers.17.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
125,layers.17.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
126,layers.17.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
127,layers.18.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
128,layers.18.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
129,layers.18.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
130,layers.18.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
131,layers.18.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
132,layers.18.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
133,layers.18.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
134,layers.19.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
135,layers.19.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
136,layers.19.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
137,layers.19.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
138,layers.19.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
139,layers.19.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
140,layers.19.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
141,layers.20.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
142,layers.20.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
143,layers.20.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
144,layers.20.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
145,layers.20.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
146,layers.20.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
147,layers.20.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
148,layers.21.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
149,layers.21.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
150,layers.21.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
151,layers.21.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
152,layers.21.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
153,layers.21.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
154,layers.21.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
155,layers.22.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
156,layers.22.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
157,layers.22.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
158,layers.22.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
159,layers.22.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
160,layers.22.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
161,layers.22.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
162,layers.23.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
163,layers.23.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
164,layers.23.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
165,layers.23.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
166,layers.23.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
167,layers.23.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
168,layers.23.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
169,layers.24.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
170,layers.24.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
171,layers.24.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
172,layers.24.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
173,layers.24.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
174,layers.24.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
175,layers.24.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
176,layers.25.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
177,layers.25.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
178,layers.25.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
179,layers.25.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
180,layers.25.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
181,layers.25.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
182,layers.25.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
183,layers.26.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
184,layers.26.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
185,layers.26.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
186,layers.26.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
187,layers.26.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
188,layers.26.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
189,layers.26.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
190,layers.27.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
191,layers.27.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
192,layers.27.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
193,layers.27.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
194,layers.27.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
195,layers.27.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
196,layers.27.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
197,layers.28.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
198,layers.28.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
199,layers.28.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
200,layers.28.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
201,layers.28.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
202,layers.28.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
203,layers.28.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
204,layers.29.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
205,layers.29.attn.k_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
206,layers.29.attn.v_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
207,layers.29.attn.output_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
208,layers.29.ffn.w1,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
209,layers.29.ffn.w2,linear,"[1280, 5120]",6553600,float16,6.25,6.25,12.5
210,layers.29.ffn.w3,linear,"[5120, 1280]",6553600,float16,6.25,6.25,12.5
211,layers.30.attn.q_proj,linear,"[1280, 1280]",1638400,float16,1.5625,1.5625,3.125
