module_index,module,kind,full_shape,full_numel,communication_dtype,local_shard_mib,received_per_rank_mib,gathered_buffer_mib
0,token_embeddings,embedding,"[10000, 2560]",25600000,float16,24.4140625,24.4140625,48.828125
1,layers.0.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
2,layers.0.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
3,layers.0.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
4,layers.0.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
5,layers.0.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
6,layers.0.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
7,layers.0.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
8,layers.1.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
9,layers.1.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
10,layers.1.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
11,layers.1.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
12,layers.1.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
13,layers.1.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
14,layers.1.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
15,layers.2.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
16,layers.2.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
17,layers.2.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
18,layers.2.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
19,layers.2.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
20,layers.2.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
21,layers.2.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
22,layers.3.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
23,layers.3.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
24,layers.3.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
25,layers.3.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
26,layers.3.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
27,layers.3.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
28,layers.3.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
29,layers.4.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
30,layers.4.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
31,layers.4.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
32,layers.4.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
33,layers.4.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
34,layers.4.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
35,layers.4.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
36,layers.5.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
37,layers.5.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
38,layers.5.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
39,layers.5.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
40,layers.5.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
41,layers.5.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
42,layers.5.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
43,layers.6.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
44,layers.6.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
45,layers.6.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
46,layers.6.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
47,layers.6.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
48,layers.6.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
49,layers.6.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
50,layers.7.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
51,layers.7.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
52,layers.7.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
53,layers.7.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
54,layers.7.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
55,layers.7.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
56,layers.7.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
57,layers.8.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
58,layers.8.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
59,layers.8.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
60,layers.8.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
61,layers.8.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
62,layers.8.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
63,layers.8.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
64,layers.9.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
65,layers.9.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
66,layers.9.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
67,layers.9.attn.output_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
68,layers.9.ffn.w1,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
69,layers.9.ffn.w2,linear,"[2560, 10240]",26214400,float16,25.0,25.0,50.0
70,layers.9.ffn.w3,linear,"[10240, 2560]",26214400,float16,25.0,25.0,50.0
71,layers.10.attn.q_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
72,layers.10.attn.k_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
73,layers.10.attn.v_proj,linear,"[2560, 2560]",6553600,float16,6.25,6.25,12.5
